Uberon ID	Uberon name	6239	7227	7955	8090	8364	9031	9258	9544	9593	9597	9598	9600	9606	9823	9913	10090	10116	13616	28377	99883
AcarDv:0000006	aged stage (anolis)	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
BtauDv:0000006	aged stage (cow)	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
EHDAA2:0004523	heart associated veins (human)	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F
EMAPA:31864	4-cell stage embryo (mouse)	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F
FBdv:00004450	late extended germ band stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005290	pre-blastoderm stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005291	embryonic stage 1 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005292	embryonic cycle 1 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005293	embryonic stage 2 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005294	embryonic cycle 2 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005295	embryonic cycle 3 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005296	embryonic cycle 4 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005297	embryonic cycle 5 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005298	embryonic cycle 6 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005299	embryonic cycle 7 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005300	embryonic cycle 8 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005301	embryonic stage 3 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005302	embryonic cycle 9 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005303	embryonic cycle 10 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005304	blastoderm stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005306	embryonic stage 4 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005307	embryonic cycle 11 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005308	embryonic cycle 12 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005309	embryonic cycle 13 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005311	embryonic stage 5 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005312	embryonic cycle 14 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005313	embryonic cycle 14A (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005314	embryonic cycle 14B (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005315	embryonic cycle 15 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005316	embryonic cycle 16 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005318	embryonic stage 6 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005319	embryonic stage 7 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005321	extended germ band stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005322	embryonic stage 8 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005323	embryonic stage 9 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005324	embryonic stage 10 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005325	embryonic stage 11 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005327	embryonic stage 12 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005328	embryonic stage 13 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005330	embryonic stage 14 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005331	dorsal closure stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005332	embryonic stage 15 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005334	embryonic stage 16 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005335	embryonic stage 17 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005337	first instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005338	second instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005339	third instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005340	early third instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005341	wandering third instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005342	prepupal stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005343	prepupal stage P1 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005344	prepupal stage P2 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005345	prepupal stage P3 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005346	prepupal stage P4 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005347	prepupal stage P4(i) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005348	prepupal stage P4(ii) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005350	pupal stage P5 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005351	pupal stage P5(i) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005352	pupal stage P5(ii) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005353	pupal stage P6 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005354	pupal stage P7 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005355	pharate adult stage P8 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005356	pharate adult stage P9 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005357	pharate adult stage P10 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005358	pharate adult stage P11 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005359	pharate adult stage P11(i) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005360	pharate adult stage P11(ii) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005361	pharate adult stage P12 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005362	pharate adult stage P12(i) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005363	pharate adult stage P12(ii) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005364	pharate adult stage P13 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005365	pharate adult stage P14 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005366	pharate adult stage P15 (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005367	pharate adult stage P15(i) (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005368	pharate adult stage P15(ii) (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00005370	adult stage A1 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00005371	adult stage A2 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00006011	pharate adult stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00006012	adult stage A3 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007001	P-stage (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00007004	third instar larval stage L1 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007005	third instar larval stage L2 (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007007	late third instar larval stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007015	embryonic stage 17(i) (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00007016	embryonic stage 17(ii) (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00007017	embryonic stage 17(iii) (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00007018	embryonic stage 17(iv) (Drosophila)	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
FBdv:00007019	third instar - uncleared gut stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007020	third instar - partially cleared gut stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FBdv:00007021	third instar - cleared gut stage (Drosophila)	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
